iter	PairLogit
0	0.6559170074
1	0.6258913504
2	0.6030496363
3	0.5830091675
4	0.5675872923
5	0.5543407729
6	0.5441121499
7	0.5351270183
8	0.5281042688
9	0.5222902376
10	0.5173608496
11	0.5136088588
12	0.5097647797
13	0.5068884576
14	0.5041929117
15	0.5018918646
16	0.5002484449
17	0.4987514215
18	0.4974471839
19	0.4967712403
20	0.4957011779
21	0.4952268017
22	0.4944581605
23	0.4936597863
24	0.4930676964
25	0.4925423716
26	0.4924039935
27	0.4918088461
28	0.4913371687
29	0.4910203898
30	0.4906775758
31	0.4904383617
32	0.4901722535
33	0.4899264537
34	0.4897173152
35	0.4895402784
36	0.4894055206
37	0.48930629
38	0.4892297455
39	0.4891255004
40	0.4890457544
41	0.4889609939
42	0.4888968097
43	0.4888748284
44	0.4887965606
45	0.4887796853
46	0.4886946902
47	0.4886834652
48	0.4886140703
49	0.4886060586
50	0.4885802075
51	0.4885290112
52	0.4885070146
53	0.4884777944
54	0.4884533217
55	0.4884020523
56	0.488384936
57	0.4883554083
58	0.4883374024
59	0.4883158503
60	0.4883136254
61	0.488295892
62	0.4882936666
63	0.4882774879
64	0.4882487456
65	0.4882413339
66	0.48823279
67	0.488212111
68	0.488212111
69	0.4882031188
70	0.4881920745
71	0.4881798655
72	0.488168938
73	0.4881654073
74	0.488165024
75	0.4881422223
76	0.4881381012
77	0.4881301196
78	0.4881151133
79	0.488087417
80	0.4880801738
81	0.4880687199
82	0.488068679
83	0.4880613977
84	0.4880387643
85	0.4880296389
86	0.4880179019
87	0.488005975
88	0.487994256
89	0.4879920901
90	0.4879920901
91	0.487992089
92	0.4879875384
93	0.4879875384
94	0.4879843887
95	0.4879772833
96	0.4879733954
97	0.487972547
98	0.4879702721
99	0.4879702721
