iter	Passed	Remaining
0	252	24982
1	362	17741
2	440	14234
3	552	13258
4	645	12265
5	753	11808
6	866	11507
7	976	11224
8	1082	10943
9	1191	10719
10	1301	10531
11	1436	10533
12	1608	10763
13	1737	10675
14	1838	10416
15	1948	10227
16	2065	10083
17	2134	9724
18	2242	9560
19	2322	9290
20	2409	9065
21	2503	8874
22	2599	8703
23	2680	8489
24	2796	8389
25	2909	8279
26	2995	8099
27	3108	7994
28	3213	7868
29	3326	7761
30	3439	7656
31	3548	7540
32	3656	7423
33	3771	7321
34	3881	7208
35	3988	7090
36	4099	6979
37	4195	6844
38	4295	6718
39	4405	6608
40	4496	6470
41	4601	6354
42	4759	6309
43	4826	6142
44	4910	6002
45	4979	5844
46	5082	5731
47	5141	5570
48	5254	5469
49	5318	5318
50	5412	5200
51	5520	5095
52	5626	4989
53	5736	4886
54	5829	4769
55	5932	4661
56	6033	4551
57	6138	4444
58	6247	4341
59	6356	4237
60	6425	4107
61	6528	4001
62	6598	3875
63	6711	3774
64	6821	3673
65	6915	3562
66	7008	3451
67	7108	3344
68	7167	3220
69	7273	3117
70	7379	3014
71	7463	2902
72	7556	2794
73	7641	2684
74	7717	2572
75	7835	2474
76	7924	2366
77	7997	2255
78	8080	2148
79	8177	2044
80	8274	1940
81	8374	1838
82	8441	1729
83	8537	1626
84	8639	1524
85	8750	1424
86	8863	1324
87	9094	1240
88	9228	1140
89	9333	1037
90	9393	929
91	9452	821
92	9548	718
93	9607	613
94	9696	510
95	9798	408
96	9902	306
97	9978	203
98	10079	101
99	10145	0
